,0
0,E2F7
1,B4GALT5
2,SEMA3A
3,FN1
4,ZNF608
5,FTH1
6,CLU
7,RAD51B
8,C10orf90
9,ZNF142
10,HCFC1
11,SLCO3A1
12,MIR100HG
13,LRBA
14,VGF
15,NEAT1
16,LINC-PINT
17,ZNF367
18,MIAT
19,CENPP
20,KIFAP3
21,EGR1
22,PDP1
23,NR3C1
24,SLC9A3R1
25,MALAT1
26,SLC30A9
27,CEP128
28,MORC2
29,PPP6R1
30,OSBP2
31,ZSWIM5
32,SQSTM1
33,CLSPN
34,RNF19A
35,NQO1
36,COL6A2
37,PPP6R2
38,PKP4
39,LGALS1
40,CD44
41,ITGAV
42,HSPA5
43,FMNL2
44,AC016831.1
45,MIR181A1HG
46,TNFRSF19
47,MDM2
48,WDPCP
49,C9orf3
50,SLC25A25
51,FTL
52,TKT
53,STK33
54,TXNRD1
55,MICAL3
56,ASF1B
57,NSMCE2
58,FRMD5
59,ZNF331
60,MT2A
61,MAP1A
62,DLEU2
63,CEP95
64,SPART
65,GNG4
66,MCC
67,WDFY3
68,SLC2A3
69,ARL4C
70,PLXNA4
71,NRCAM
72,WLS
73,NMD3
74,CKMT2-AS1
75,SLC2A13
76,RBBP8
