,0
0,SH3BP5
1,WBP2
2,DHCR24
3,AGO2
4,HSPA13
5,FHL2
6,RBM39
7,MALAT1
8,SQSTM1
9,PDE4D
10,ABHD17A
11,WSB1
12,SLC7A5
13,TCP11L1
14,NFE2L1
15,PHGDH
16,ADAMTSL4-AS1
17,TRIL
18,CLU
19,PLK2
20,MBNL2
21,PRELP
22,SLCO4A1
23,SACS
24,PDGFA
25,PRSS23
26,NOL4
27,SLX4IP
28,DDIT3
29,ARHGEF2
30,COL11A1
31,KCNN3
32,RPS6KA3
33,TARS
34,THBS1
35,HS3ST3A1
36,PYCR1
37,CAMTA1
38,MAP4K3
39,SLC1A5
40,MTHFD2
41,SESN2
42,SLC3A2
43,JARID2
44,DBF4B
45,SIX1
46,ZFAS1
47,TMTC2
48,SERPINE2
49,ABCA1
50,ATF4
51,MEOX2
52,NMNAT2
53,HNRNPL
54,RBL1
55,UHRF1BP1
56,INTS11
57,PCNA
58,NOVA1-AS1
59,LRP1
60,KANK2
