,0
0,PTK7
1,CLOCK
2,WBP2
3,PPP1R9A
4,TWIST1
5,PEG10
6,LINC00174
7,MAML3
8,ETV4
9,EXOC4
10,COTL1
11,WDR1
12,MYOF
13,PDE4D
14,SMYD3
15,KANSL1
16,CDK19
17,NAV3
18,TAGLN2
19,CAVIN1
20,AXL
21,WARS
22,HMGA2
23,PXN
24,TRPS1
25,NHSL1
26,PPM1E
27,TRIL
28,RPS6KC1
29,PLK2
30,PHACTR2
31,PELI1
32,OSBPL10
33,ITPR3
34,CCT2
35,CUTA
36,CLIP3
37,SNED1
38,NOL4
39,ANTXR1
40,TNFRSF19
41,EMC3
42,DDIT3
43,GNL1
44,NR1D2
45,MIR99AHG
46,C1orf21
47,ADGRV1
48,FBXW7
49,AGMO
50,KCTD13
51,CCND3
52,GULP1
53,CDKN1A
54,HS3ST3A1
55,ENPP2
56,NEAT1
57,CAMTA1
58,HIST1H4C
59,STK32B
60,CTIF
61,PPP2R3A
62,NRF1
63,TKT
64,HERPUD1
65,SESN2
66,LRP8
67,NCOA2
68,ZFAS1
69,MYBL2
70,TTYH3
71,TGFB1
72,PLD1
73,JMJD8
74,CRISPLD1
75,SERPINE2
76,MITF
77,EMP1
78,CTNNAL1
79,ATF4
80,TM4SF1
81,IL1RAP
82,FAM3C
83,RBL1
84,BIRC2
85,C20orf194
86,USP6NL
87,SIGMAR1
88,RAD51B
