,0
0,DLG1
1,XPOT
2,PRUNE2
3,E2F7
4,LINC00662
5,ZFAS1
6,SERINC5
7,ZBTB21
8,DPP6
9,FAM129A
10,STK40
11,SYT1
12,UBE2E2
13,VEGFA
14,FTH1
15,SACS
16,NRP2
17,TNC
18,SLC3A2
19,CDKN1A
20,NCAPD2
21,NHS
22,LYST
23,SLCO3A1
24,MIR100HG
25,KDM6B
26,ATP2C1
27,VGF
28,SLC7A5
29,TCEA1
30,PKD1
31,ABCA1
32,TNFRSF10B
33,NEAT1
34,FBXO34
35,HYOU1
36,LINC-PINT
37,SH3PXD2A
38,MARS
39,GLIS3
40,FTX
41,FHIT
42,UPP1
43,NFE2L1
44,PDPN
45,SNX25
46,MALAT1
47,PLEKHH2
48,TMTC1
49,HERPUD1
50,MTHFD1L
51,SLC38A2
52,PLD3
53,PIEZO1
54,GRB10
55,RFWD2
56,SLC39A11
57,SLC38A1
58,SQSTM1
59,ARHGEF2
60,ATP2B1
61,P4HA2
62,ARFGEF3
63,TARS
64,OXR1
65,ADAMTS9
66,KLF6
67,H1FX
68,SESN2
69,COL6A2
70,KIF1A
71,GAS5
72,AL590617.2
73,CNIH3
74,JAG1
75,NAMPT
76,KCNE4
77,SLC2A1
78,ITGA6
79,HERC4
80,ZBTB20
81,SLC1A4
82,HSPA5
83,DDIT3
84,NPAS2
85,DDIT4
86,PAWR
87,GARS
88,DUSP4
89,PVT1
90,RCAN1
91,MIR181A1HG
92,WDPCP
93,TRIB3
94,FTL
95,PCNX2
96,SLC1A5
97,ZFP90
98,PIP4K2A
99,RUNX1
100,VAT1
101,TXNRD1
102,LHFPL2
103,TPP1
104,MTSS1L
105,PRSS23
106,SARS
107,BACE2
108,SLC7A11
109,GADD45A
110,MTHFD2
111,ACTN1
112,ATXN1
113,SERPINE2
114,SDCBP
115,GCLM
116,WARS
117,SLC2A3
118,ELAVL3
119,WSB1
120,SLC2A13
121,KDSR
