,0
0,RMST
1,LINC00461
2,BCAN
3,DPP6
4,ADGRB3
5,KCNIP4
6,LRIG1
7,ADGRV1
8,GABBR2
9,MIR99AHG
10,ATP1B2
11,LSAMP
12,LHFPL3
13,SPARCL1
14,PDGFRA
15,FAM181B
16,ADGRG1
17,SEZ6L
18,SOX2-OT
19,NLGN4X
20,ID4
21,NCAN
22,SOX6
23,EGFR
24,SLC4A4
25,MTSS1
26,ETV1
27,PDZRN3
28,OPHN1
29,DCLK2
30,NKAIN3
31,ROBO2
32,CSPG5
33,PPP2R2B
34,KCNN3
35,DLG2
36,RFX4
37,C1orf61
38,SRGAP3
39,NLRP1
40,EPHB1
41,NFIA
42,DCX
43,PBX1
44,SNCAIP
45,SLC1A3
46,PRKG1
47,LINC01158
48,TCF4
49,NCKAP5
50,OLIG1
51,MATN2
52,NOTCH1
53,PITPNC1
