,0
0,PRUNE2
1,LINC00461
2,BCAN
3,SYT1
4,CLU
5,AVIL
6,LRIG1
7,MIR99AHG
8,LSAMP
9,LYST
10,AC006001.3
11,MIR100HG
12,P2RX7
13,MBD5
14,PNRC1
15,ABCA1
16,NAV2
17,NEAT1
18,NTRK2
19,TOX3
20,TSPAN11
21,CBFA2T2
22,SRGAP1
23,SAMD4A
24,ZFP36L2
25,CRB2
26,LINC-PINT
27,ADGRG1
28,CRB1
29,ACVR2A
30,GLIS3
31,FTX
32,MALAT1
33,EGFR
34,UST
35,BCAS3
36,DCLK1
37,PDZRN3
38,SOX2
39,OPHN1
40,SQSTM1
41,AKT3
42,NKAIN3
43,ROBO2
44,H1FX
45,LIMCH1
46,MXD4
47,NPC2
48,KCNN3
49,ZBTB20
50,ZC3H12C
51,EPHB1
52,TOB2
53,LDLRAD3
54,UBE2H
55,APBA1
56,CDKL5
57,FOXN3
58,LINC01158
59,TMTC2
60,MDM2
61,FTL
62,TPP1
63,AHNAK
64,LRP1
65,ABCA5
66,NCKAP5
67,BACH2
68,MAP1A
69,CELSR2
70,DLEU2
71,CEP95
72,RFX3
73,CLIP3
74,SDCBP
75,NEDD4L
76,AC234582.1
77,RORA
