,0
0,RMST
1,MAML2
2,LINC00461
3,BCAN
4,DPP6
5,FN1
6,ADGRB3
7,NCOA1
8,CLU
9,LRIG1
10,ADGRV1
11,GABBR2
12,MIR99AHG
13,ATP1B2
14,LSAMP
15,SPARCL1
16,PDGFRA
17,MIR100HG
18,P2RX7
19,PTPRD
20,FAM181B
21,ABCA1
22,SORBS1
23,NEAT1
24,SRGAP1
25,TAOK3
26,ADGRG1
27,PAK3
28,SOX2-OT
29,ACVR2A
30,MIAT
31,NLGN4X
32,GLIS3
33,HES6
34,IL1RAPL1
35,ID4
36,FHIT
37,NCAN
38,SOX6
39,EGFR
40,SLC4A4
41,MTSS1
42,PDZRN3
43,OPHN1
44,AKT3
45,ARL15
46,DCLK2
47,NKAIN3
48,ROBO2
49,CSPG5
50,NKD1
51,PPP2R2B
52,SETBP1
53,MXD4
54,KCNN3
55,DLG2
56,RFX4
57,C1orf61
58,GNAO1
59,SRGAP3
60,AHCYL2
61,TXNIP
62,NLRP1
63,ZC3H12C
64,EPHB1
65,NFIA
66,DCX
67,PBX1
68,SNCAIP
69,SLC1A3
70,LDLRAD3
71,UBE2H
72,PRKG1
73,JAZF1
74,FOXN3
75,LINC01158
76,TMTC2
77,GLCCI1
78,USP54
79,KLHL25
80,PRKCE
81,SOX5
82,TCF4
83,TPP1
84,BAZ2B
85,MAPT
86,NCKAP5
87,PLP1
88,DLEU2
89,PYGL
90,CLIP3
91,UTRN
92,MATN2
93,NEDD4L
94,AC234582.1
95,NOTCH1
96,PITPNC1
97,AKAP6
