,0
0,RMST
1,MAML2
2,LINC00461
3,BCAN
4,DPP6
5,FN1
6,ADGRB3
7,HS6ST1
8,NCOA1
9,KCNIP4
10,CLU
11,LRIG1
12,ADGRV1
13,GABBR2
14,MIR99AHG
15,MEGF10
16,ATP1B2
17,LSAMP
18,LHFPL3
19,SPARCL1
20,PDGFRA
21,MIR100HG
22,P2RX7
23,PTPRD
24,SCN3A
25,FAM181B
26,SORBS1
27,SRGAP1
28,TAOK3
29,ADGRG1
30,PAK3
31,SDC3
32,CRB1
33,SEZ6L
34,FGF12
35,SOX2-OT
36,ACVR2A
37,NLGN4X
38,SLC44A5
39,HES6
40,IL1RAPL1
41,ID4
42,FHIT
43,PIK3R3
44,CASK
45,NCAN
46,SOX6
47,EGFR
48,SLC4A4
49,ITGB5
50,MTSS1
51,ETV1
52,PDZRN3
53,TRPS1
54,ZFHX4
55,PDE4D
56,OPHN1
57,AKT3
58,MEOX2
59,C1orf21
60,ARL15
61,RFTN2
62,PLPP3
63,DCLK2
64,NKAIN3
65,ROBO2
66,CSPG5
67,SMOC1
68,NKD1
69,PPP2R2B
70,SETBP1
71,MXD4
72,KCNN3
73,DLG2
74,RFX4
75,DAB1
76,C1orf61
77,GNAO1
78,SRGAP3
79,AHCYL2
80,NLRP1
81,ZC3H12C
82,EPHB1
83,EYA4
84,NFIA
85,DCX
86,PBX1
87,SNCAIP
88,SLC1A3
89,LDLRAD3
90,UBE2H
91,PRKG1
92,JAZF1
93,TRAK1
94,FOXN3
95,TMEM108
96,LINC00609
97,LINC01158
98,TMTC2
99,GLCCI1
100,USP54
101,WSCD1
102,KLHL25
103,CDH11
104,SOX5
105,CTNNA3
106,PEAK1
107,TCF4
108,BAZ2B
109,NCKAP5
110,PLP1
111,DLEU2
112,NAV3
113,OLIG1
114,DOCK10
115,PYGL
116,CLIP3
117,UTRN
118,MATN2
119,NEDD4L
120,AC234582.1
121,NOTCH1
122,PITPNC1
123,AKAP6
124,FMN2
