,0
0,SLC4A4
1,LHFPL3
2,CEP95
3,ZNF800
4,AXL
5,LAMA4
6,ZWINT
7,SARS
8,CEP57
9,STAG1
10,NAV3
11,SPARC
12,USP13
13,PSAT1
14,ZNF598
15,RMST
16,TMEM132A
17,ARL15
18,E2F7
19,PYCR1
20,CELSR2
21,SLC1A3
22,ID3
23,PDGFC
24,MTHFD2
25,FRMD5
26,ATAD2
27,TIPARP
28,TCEA1
29,COL4A1
30,SP100
31,FAM35A
32,NCKAP5L
33,GABBR2
34,METTL7B
35,DMTF1
36,CHD2
37,VPS13D
38,PCCA
39,ABHD17A
40,ANKRD36C
41,JOSD1
42,RANGAP1
43,GFAP
44,CHL1
45,RNF168
46,PLCB1
47,ELMOD1
48,ADAMTS3
49,SETD5
50,CCDC80
51,ABR
52,KLF6
53,FOXN3
54,NDRG1
55,TANC1
56,DUSP3
57,TOP3A
58,TOMM40
59,CAMTA2
60,TNIK
61,LYST
62,PHGDH
63,ADAM19
64,MCAM
65,TXNRD1
66,TRIB3
67,SCRIB
68,RFC3
69,PLXNA1
70,PLD5
71,WSCD1
72,PRUNE2
