,0
0,PPP2R2B
1,SLC4A4
2,CENPP
3,NUCKS1
4,LINC01505
5,CAMK1D
6,TPX2
7,BZW1
8,UHRF1
9,KPNA2
10,NGLY1
11,TOP2A
12,NUP107
13,MATN2
14,CARS
15,WASHC5
16,BCL6
17,PROX1
18,ABCA5
19,AHR
20,EZH2
21,SLC2A3
22,ARSD
23,TIPARP
24,STMN3
25,PEG10
26,TKT
27,SLC7A11
28,CHST11
29,CA12
30,ATCAY
31,KCNIP4
32,BAZ2B
33,IFITM3
34,STK32B
35,MCM2
36,POLA2
37,TPT1-AS1
38,GFAP
39,AC008014.1
40,CHL1
41,PLCB1
42,ADAMTS3
43,EXOC4
44,ZFAS1
45,THY1
46,RECK
47,PHGDH
48,MTSS1L
49,FANCA
50,SMC2
51,PPP1R14B
52,AP3B1
53,PLD5
54,RAN
55,ASAP3
