,0
0,RMST
1,PRAG1
2,MAML2
3,LINC00461
4,BCAN
5,FN1
6,ADGRB3
7,HS6ST1
8,NCOA1
9,KCNIP4
10,CLU
11,PTPRK
12,LRIG1
13,ADGRV1
14,PBX3
15,MIR99AHG
16,ATP1B2
17,KANSL1L
18,PDGFRA
19,MIR100HG
20,MBD5
21,DGKI
22,PNRC1
23,GPSM2
24,SCN3A
25,ABCA1
26,NEAT1
27,SOX4
28,NTRK2
29,TOX3
30,CBFA2T2
31,SRGAP1
32,FRMD4A
33,SULF2
34,ZFP36L2
35,CRB2
36,PLCB1
37,TAOK3
38,ADGRG1
39,PAK3
40,NIM1K
41,ARHGEF3
42,CRB1
43,ACVR2A
44,ARHGEF6
45,MIAT
46,PLXNA2
47,NLGN4X
48,AC003991.1
49,SLC44A5
50,HES6
51,IL1RAPL1
52,FTX
53,PARD3B
54,PIK3R3
55,TCF7L1
56,LTBP3
57,NCAN
58,MALAT1
59,EGFR
60,UST
61,DPYD
62,MTSS1
63,IMMP2L
64,GRIK2
65,PDZRN3
66,TRPS1
67,PDE4D
68,OPHN1
69,AKT3
70,CDC42EP4
71,ARL15
72,RFTN2
73,MFHAS1
74,GNGT1
75,DCLK2
76,NKAIN3
77,ROBO2
78,CSPG5
79,PPP2R2B
80,LIMCH1
81,SETBP1
82,CROT
83,LRP1B
84,MXD4
85,KCNN3
86,DLG2
87,RFX4
88,GTF2I
89,C1orf61
90,GNAO1
91,KIAA1211
92,SRGAP3
93,AHCYL2
94,ZBTB20
95,PDE4DIP
96,CHD7
97,DPY19L1P1
98,TMEM161B-AS1
99,ZC3H12C
100,ARHGAP5
101,EPHB1
102,EYA4
103,ATXN7L1
104,NFIA
105,DCX
106,PBX1
107,SNCAIP
108,DDIT4
109,UBE2H
110,PRKG1
111,APBA1
112,FBXL7
113,GSK3B
114,RND3
115,FOXN3
116,LIFR
117,PAG1
118,NUMBL
119,ID3
120,TOX
121,LINC00609
122,PRKN
123,LINC01158
124,TMTC2
125,GLCCI1
126,USP54
127,PTCHD1-AS
128,KLHL25
129,ASCL1
130,PRKCE
131,CADM2
132,SOX5
133,TCF4
134,KIAA1958
135,ADD3
136,CRISPLD1
137,TPP1
138,RSRC1
139,BAZ2B
140,NCKAP5
141,MT2A
142,CDHR3
143,MEIS2
144,CELSR2
145,BTG2
146,NAV3
147,SORBS2
148,RFX3
149,DOCK10
150,CLIP3
151,UTRN
152,NEDD4L
153,AC234582.1
154,NOTCH1
155,NR2F1-AS1
156,PITPNC1
157,AKAP6
158,LRRN3
