,0
0,GSN
1,SYT1
2,MECOM
3,GAP43
4,CLU
5,SACS
6,SOX11
7,CSRNP3
8,ARHGAP26
9,PGM2L1
10,BBS9
11,TNIK
12,IGFBP5
13,SBF2
14,GPR155
15,VGF
16,NEAT1
17,ITGB8
18,VCAN
19,SCFD2
20,FRMD4B
21,KIFAP3
22,PDP1
23,TMEM260
24,DPYD
25,GOLIM4
26,PLD3
27,ST8SIA5
28,GRB10
29,ARL6IP1
30,RNF19A
31,SCG2
32,ITGA7
33,VAV3
34,XPR1
35,COL6A2
36,RAPH1
37,IGF1R
38,LGALS1
39,TSHZ2
40,PCDH9
41,PCSK1N
42,FLNB
43,FMNL2
44,UBE2H
45,SERTAD2
46,GLIPR1
47,SMS
48,SHC1
49,SPARC
50,PEG10
51,STK17A
52,MEIS1
53,TSC22D2
54,CAMKMT
55,TENM1
56,DCBLD2
57,FBN2
58,NRXN3
59,DNER
60,EML6
61,SLC2A3
62,NRCAM
63,DNM3
64,METTL7B
