,0
0,CTSC
1,HR
2,MCM4
3,MLLT3
4,JAG1
5,ELOF1
6,NPTN
7,CHL1
8,SCN8A
9,SHROOM2
10,RMST
11,RGL1
12,NR4A1
13,HSPA13
14,RAB5C
15,PPP2R2B
16,MALAT1
17,ESCO2
18,BBS9
19,NEFL
20,CD46
21,PIP4K2A
22,KLHDC8A
23,CERS6
24,TNS3
25,PEX1
26,GAS7
27,MID1
28,MRI1
29,FAM110B
30,PKD1
31,ITPRIPL2
32,RBM23
33,RFFL
34,GCDH
35,MAP3K20
36,ASF1B
37,TMEM135
38,C19orf48
39,NLGN1
40,COL5A3
41,ST6GAL1
42,PTPRG
43,SERTAD4
44,NF2
45,NPAS3
46,AC004980.1
47,SGCD
48,CDKL5
49,MEF2D
50,EGFR
51,APBB2
52,P4HA1
53,AC099850.2
54,MBNL3
55,PRR11
56,ODC1
57,PCSK6
58,CLMP
59,PPP6R3
60,ZFP64
61,ZC3H7A
62,RRM2
63,TPX2
64,GNG12
65,SLC24A2
66,JPT1
67,EML6
68,NME4
69,RAD18
70,SHCBP1
71,GTPBP6
72,HDAC9
73,FBRSL1
74,CAVIN3
75,TEX261
76,ATP5O
77,DOCK10
78,TROAP
79,YBX3
80,ITGA6
81,MIR3681HG
82,NAMPT
83,TEX2
84,STOX2
85,SLC2A10
86,TYMS
87,RAB3IP
88,CBR4
89,IRS2
90,EMC3
91,SLC2A1
92,NCOA3
93,GRIPAP1
94,PCCA
95,TUBB4B
96,ANGPTL2
97,EXO1
98,CLSPN
99,FNBP1
100,CENPE
101,TXNIP
102,ANKS1A
103,BMP7
104,OSMR
105,BFSP1
106,NLRP1
107,RALGAPA2
108,SSPN
109,UQCC2
110,FEM1C
111,ARL4C
112,MAP1A
113,MELTF
114,IRF2BPL
115,MAPK8IP1
116,PMP22
117,NCEH1
118,HIST1H4C
119,STK32B
120,ABCA2
121,CCDC82
122,COA7
123,RAB3B
124,NUCKS1
125,TMEM189
126,RFX3
127,ALCAM
128,LGALS1
129,TKT
130,ADAMTS9
131,CUBN
132,KPNA2
133,DTNB
134,JARID2
135,AC064875.1
136,NCOA2
137,AL590617.2
138,HIPK1
139,DPM1
140,SARS
141,HERC4
142,LIPA
143,UBTF
144,ACTN1
145,MAPK1
146,RIC8A
147,ATAD5
148,TMTC2
149,EXT1
150,PIK3R3
151,SPRY4
152,AGAP1
153,IDS
154,KRAS
155,CCDC57
156,COL27A1
157,BACH2
158,TMEFF2
159,XIST
160,PRIM2
161,KNL1
162,ARID4B
163,MTATP6P1
164,APLP1
165,RND3
166,AC073050.1
167,MKI67
168,CKMT2-AS1
169,MEOX2
170,FAM3C
171,KIF20B
172,INTS11
173,NAXE
174,SLC4A8
175,PCNA
176,TIAM1
177,AHCYL2
178,LRP1
179,SH3GLB2
180,PTPRK
181,YAP1
