,0
0,TP53BP2
1,DLG1
2,PRUNE2
3,E2F7
4,MID1
5,DPP6
6,FAM129A
7,STK40
8,ZNF608
9,GAP43
10,FTH1
11,SACS
12,NRP2
13,CREB5
14,SOX11
15,TNC
16,PGM2L1
17,LYST
18,SLCO3A1
19,IGFBP5
20,ATP2C1
21,VGF
22,TCEA1
23,ABCA1
24,JUN
25,MCAM
26,MIAT
27,MARS
28,GLIS3
29,AKAP12
30,IGFBP3
31,DUSP3
32,UPP1
33,ANXA1
34,PDP1
35,PDPN
36,NR3C1
37,TMEM260
38,TMTC1
39,MAMLD1
40,GRB10
41,TAGLN2
42,RFWD2
43,SLC38A1
44,SQSTM1
45,OXR1
46,KLF6
47,SESN2
48,IGF1R
49,CD44
50,HERC4
51,ZBTB20
52,TXNIP
53,HDAC9
54,DDIT3
55,FBXW7
56,GARS
57,ABR
58,RCAN1
59,EIF4EBP1
60,ELMSAN1
61,TRIB3
62,FTL
63,MIR4435-2HG
64,VAT1
65,LHFPL2
66,MICAL3
67,TPP1
68,TSC22D2
69,BACH2
70,FRMD5
71,DCBLD2
72,DLEU2
73,IQGAP2
74,SLC2A3
75,ARL4C
76,PLXNA4
77,WLS
