,0
0,SLC4A4
1,DOCK10
2,CTNNAL1
3,MZF1
4,ADGRG1
5,CENPP
6,LINC01004
7,NME1
8,SLC38A2
9,CAMK1D
10,DNMBP
11,MAPK8IP1
12,PCDH9
13,VAV3
14,CAVIN1
15,RFX3
16,BCL6
17,SCG2
18,TMEM161B-AS1
19,CTIF
20,NTRK2
21,LRP8
22,FIGN
23,PEG10
24,TKT
25,SLC7A11
26,GABBR2
27,CA12
28,P2RX7
29,ATCAY
30,ZFAND3
31,MXD4
32,BAZ2B
33,BCAR1
34,SNX25
35,STK32B
36,CEBPG
37,XPR1
38,GFAP
39,PLCB1
40,ADAMTS3
41,FLOT1
42,LSM5
43,CHAF1A
44,SHROOM3
45,LARP6
46,THY1
47,RBCK1
48,SERINC5
49,GSK3B
50,BBS9
51,TPM4
52,TRIM24
53,BMP2K
54,SATB2
55,DCLK1
56,PRRC2A
57,TMEM192
58,RAN
