,0
0,RMST
1,PRUNE2
2,LIPE-AS1
3,PRAG1
4,MAML2
5,LINC00461
6,BCAN
7,FN1
8,SYT1
9,ADGRB3
10,NCOA1
11,CLU
12,PTPRK
13,AVIL
14,LRIG1
15,ADGRV1
16,PBX3
17,IGDCC4
18,BBS9
19,MIR99AHG
20,MIR100HG
21,MBD5
22,PTPRD
23,PGM5P2
24,SCN3A
25,ABCA1
26,ZHX2
27,SORBS1
28,SOX4
29,NTRK2
30,TOX3
31,CBFA2T2
32,SRGAP1
33,RICTOR
34,SULF2
35,CRB2
36,PLCB1
37,ADGRG1
38,PAK3
39,RBM6
40,ARHGEF3
41,CRB1
42,ACVR2A
43,ARHGEF6
44,MIAT
45,NLGN4X
46,SLC44A5
47,HES6
48,IL1RAPL1
49,FTX
50,PARD3B
51,PRICKLE2
52,WWOX
53,NCAN
54,MALAT1
55,EGFR
56,DPYD
57,BCAS3
58,IMMP2L
59,PDZRN3
60,FRY
61,MIRLET7BHG
62,PDE4D
63,OPHN1
64,AKT3
65,CDC42EP4
66,C1orf21
67,ARL15
68,RFTN2
69,CNOT4
70,GNGT1
71,DCLK2
72,NKAIN3
73,ROBO2
74,LIMCH1
75,CHD2
76,SETBP1
77,CROT
78,MXD4
79,AF117829.1
80,KCNN3
81,RFX4
82,JAG1
83,C1orf61
84,KIAA1211
85,SRGAP3
86,AHCYL2
87,ZBTB20
88,PDE4DIP
89,TXNIP
90,CHD7
91,HDAC9
92,DPY19L1P1
93,TMEM161B-AS1
94,ZC3H12C
95,EPHB1
96,EYA4
97,NFIA
98,DCX
99,PBX1
100,SNCAIP
101,UBE2H
102,PRKG1
103,CDKL5
104,GSK3B
105,RND3
106,FOXN3
107,PAG1
108,NUMBL
109,ID3
110,ATRNL1
111,ITPKB
112,TOX
113,LINC00609
114,TMTC2
115,GLCCI1
116,PTCHD1-AS
117,KLHL25
118,TIPARP
119,CADM2
120,CTNNA3
121,TCF4
122,KIAA1958
123,ADD3
124,TPP1
125,AHNAK
126,BAZ2B
127,MAPT
128,ADK
129,NCKAP5
130,PLP1
131,DLEU2
132,SORBS2
133,RFX3
134,DOCK10
135,CLIP3
136,UTRN
137,NEDD4L
138,NOTCH1
139,VCL
140,NR2F1-AS1
141,WSB1
142,AKAP6
143,LRRN3
144,FMN2
