,0
0,TP53BP1
1,UST
2,DOCK10
3,CTNNAL1
4,ALCAM
5,PHLDA2
6,NEAT1
7,LTBP3
8,TCOF1
9,SCRG1
10,CAMK1D
11,AKAP12
12,ITGA7
13,SLC9A8
14,DNAJC2
15,PCDH9
16,NCOA1
17,NCAPG
18,MATN2
19,AK4
20,BCL7A
21,CLIP3
22,FRMD5
23,PCBP1-AS1
24,MRPL40
25,LRP8
26,FIGN
27,PEG10
28,ODC1
29,P2RX7
30,CLU
31,NETO2
32,PIK3R3
33,NKAIN3
34,CAMK2N1
35,XPR1
36,GFAP
37,AC008014.1
38,PLCB1
39,ELMOD1
40,MSRA
41,TAGLN2
42,ADAMTS3
43,UBAC1
44,JAZF1
45,NOL4L
46,EXOC4
47,SLX4IP
48,PLXNA4
49,MRPS16
50,DPM2
51,BBS9
52,PRMT1
53,ADAM19
54,TPM4
55,PPP1R14B
56,IMMP2L
57,AKAP6
