,0
0,RMST
1,PRAG1
2,MAML2
3,LINC00461
4,BCAN
5,FN1
6,ADGRB3
7,HS6ST1
8,NCOA1
9,CLU
10,LRIG1
11,ADGRV1
12,GABBR2
13,PBX3
14,BBS9
15,MIR99AHG
16,C20orf194
17,MEGF10
18,ATP1B2
19,LSAMP
20,KANSL1L
21,SPARCL1
22,PDGFRA
23,MIR100HG
24,P2RX7
25,MBD5
26,GPSM2
27,PTPRD
28,SCN3A
29,ABCA1
30,SORBS1
31,NEAT1
32,SOX4
33,NTRK2
34,TOX3
35,CBFA2T2
36,SRGAP1
37,ZNF521
38,SULF2
39,ZFP36L2
40,PLCB1
41,TAOK3
42,ADGRG1
43,PAK3
44,NIM1K
45,ARHGEF3
46,CRB1
47,ACVR2A
48,ARHGEF6
49,MIAT
50,NLGN4X
51,GLIS3
52,AC003991.1
53,SLC44A5
54,HES6
55,IL1RAPL1
56,FTX
57,ID4
58,PRICKLE2
59,FHIT
60,PIK3R3
61,TCF7L1
62,LTBP3
63,NCAN
64,MALAT1
65,SOX6
66,EGFR
67,SLC4A4
68,DPYD
69,BCAS3
70,MTSS1
71,PDZRN3
72,TRPS1
73,SOX2
74,ZFHX4
75,PDE4D
76,OPHN1
77,AKT3
78,ARL15
79,RFTN2
80,MFHAS1
81,CNOT4
82,DCLK2
83,NKAIN3
84,ROBO2
85,CSPG5
86,NKD1
87,PPP2R2B
88,LIMCH1
89,SETBP1
90,MXD4
91,KCNN3
92,DLG2
93,RFX4
94,DAB1
95,GTF2I
96,C1orf61
97,GNAO1
98,SRGAP3
99,AHCYL2
100,ZBTB20
101,TXNIP
102,CHD7
103,DPY19L1P1
104,TMEM161B-AS1
105,ZC3H12C
106,ARHGAP5
107,EPHB1
108,EYA4
109,NFIA
110,DCX
111,PBX1
112,SNCAIP
113,SLC1A3
114,LDLRAD3
115,UBE2H
116,PRKG1
117,APBA1
118,JAZF1
119,FBXL7
120,FOXN3
121,NUMBL
122,ATRNL1
123,LINC00609
124,PRKN
125,LINC01158
126,TMTC2
127,GLCCI1
128,USP54
129,WSCD1
130,PTCHD1-AS
131,KLHL25
132,ASCL1
133,PRKCE
134,STK33
135,CADM2
136,SOX5
137,CTNNA3
138,TCF4
139,KIAA1958
140,ADD3
141,TPP1
142,LRP1
143,BAZ2B
144,MAPT
145,NCKAP5
146,MEIS2
147,PLP1
148,CELSR2
149,DLEU2
150,BTG2
151,NAV3
152,RFX3
153,PYGL
154,CLIP3
155,UTRN
156,MATN2
157,NEDD4L
158,AC234582.1
159,NOTCH1
160,NR2F1-AS1
161,PITPNC1
162,AKAP6
163,RORA
164,FMN2
