,0
0,RMST
1,PRUNE2
2,KDM4A
3,RXRA
4,PRAG1
5,MAML2
6,LINC00461
7,FOXP1
8,FN1
9,MAGI3
10,ZNF235
11,NCOA1
12,CLU
13,PTPRK
14,AVIL
15,SKA2
16,PBX3
17,MIR99AHG
18,PHF21A
19,MIR100HG
20,MBD5
21,SCN3A
22,APOLD1
23,ABCA1
24,ZHX2
25,NEAT1
26,SOX4
27,NTRK2
28,TOX3
29,SETD1B
30,CBFA2T2
31,SRGAP1
32,APPL2
33,RICTOR
34,SULF2
35,ZFP36L2
36,PLCB1
37,LINC-PINT
38,ADGRG1
39,PAK3
40,ARHGEF3
41,CRB1
42,JADE1
43,ACVR2A
44,MIAT
45,SLC44A5
46,HES6
47,IL1RAPL1
48,FTX
49,PARD3B
50,PRICKLE2
51,NCAN
52,MALAT1
53,DPYD
54,BCAS3
55,DCLK1
56,MTSS1
57,IMMP2L
58,GRIK2
59,PDZRN3
60,TRPS1
61,FRY
62,MIRLET7BHG
63,ZSWIM5
64,PDE4D
65,OPHN1
66,AKT3
67,BCL6
68,NKAIN3
69,ROBO2
70,CSPG5
71,LIMCH1
72,SETBP1
73,MXD4
74,KCNN3
75,DLG2
76,JAG1
77,TTLL5
78,KIAA1211
79,CHD7
80,TMEM161B-AS1
81,ARHGAP5
82,EPHB1
83,NFIA
84,DCX
85,PBX1
86,SNCAIP
87,EGFEM1P
88,LDLRAD3
89,PRKG1
90,APBA1
91,RND3
92,FOXN3
93,LIFR
94,NUMBL
95,ITPKB
96,TOX
97,LINC00609
98,HECTD4
99,TMTC2
100,GLCCI1
101,PTCHD1-AS
102,KLHL25
103,ASCL1
104,ARHGEF28
105,TIPARP
106,CADM2
107,TCF4
108,KIAA1958
109,ADD3
110,MAPT
111,NCKAP5
112,MAP1A
113,CELSR2
114,DLEU2
115,SORBS2
116,UTRN
117,NEDD4L
118,NOTCH1
119,BABAM2
120,AKAP6
