,0
0,LHFPL2
1,SLC4A4
2,GBE1
3,ADGRG1
4,C20orf194
5,CEP95
6,RICTOR
7,LAMA4
8,HERPUD1
9,RHBDD1
10,ARL4C
11,NDUFA8
12,DNMBP
13,ARID5B
14,RMI1
15,FLNB
16,SARS
17,NPC2
18,NQO1
19,SMARCD3
20,SH3PXD2B
21,ARL15
22,LMCD1-AS1
23,E2F7
24,ATAD5
25,PYCR1
26,SLC1A3
27,MTHFD2
28,SLC2A3
29,FRMD5
30,ATAD2
31,HSPA13
32,NTRK2
33,TCEA1
34,KIAA1958
35,PCSK6
36,HDAC8
37,ABHD3
38,CHCHD10
39,PDE4B
40,NCKAP5L
41,COG5
42,FRMD4A
43,CA12
44,ZNF608
45,METTL7B
46,CHD2
47,ST3GAL5
48,PCCA
49,HLA-C
50,TSPAN9
51,JOSD1
52,MCM2
53,BICD1
54,PROSER3
55,POLA2
56,GFAP
57,AC008014.1
58,CMIP
59,ELMOD1
60,ADAMTS3
61,TTLL5
62,XRCC2
63,NMNAT2
64,ATXN1
65,POU3F2
66,KDM6B
67,VAV2
68,CEP192
69,NLGN4X
70,NDRG1
71,NRP2
72,CHRM3
73,TNIK
74,SKA2
75,KLHL13
76,SHROOM2
77,MYC
78,PHGDH
79,USP37
80,ADAM19
81,RIPOR1
82,PLTP
83,PRC1
84,MCM8
85,TRIB3
86,PRKACA
87,MT2A
88,PEG3
89,WSCD1
90,NCAPD2
91,PYGL
92,KIF11
