,0
0,LHFPL2
1,SLC4A4
2,SMURF2
3,CAV1
4,AXL
5,LAMA4
6,DENR
7,MEGF11
8,PCDH9
9,VAV3
10,SARS
11,SPARC
12,E2F7
13,POLR2A
14,SLC1A3
15,ID3
16,MTHFD2
17,ATAD2
18,KIAA1958
19,TOX
20,MRPS2
21,PDE4B
22,ODC1
23,GABBR2
24,RANGAP1
25,POLE3
26,GFAP
27,CHL1
28,CMIP
29,ELMOD1
30,MAP3K4
31,UPF3A
32,RGMB
33,MAPKAPK3
34,KDM6B
35,TENM1
36,FOXN3
37,NRP2
38,SACS
39,LRP1B
40,ERRFI1
41,WDR43
42,LYST
43,MYC
44,PHGDH
45,EML6
46,MTSS1L
47,MCAM
48,ZFHX4
49,TRIB3
50,PRKACA
51,MT2A
52,EIF2AK3
53,MAN1A1
54,HDAC9
55,WSCD1
56,PRUNE2
57,EHD4
58,MARS
