,0
0,TP53BP2
1,XPOT
2,E2F7
3,LINC00662
4,TXN
5,ZFAS1
6,PNPLA2
7,SERINC5
8,ZBTB21
9,DPP6
10,FAM129A
11,SYT1
12,UBE2E2
13,ZNF235
14,FTH1
15,PLEKHG1
16,CLU
17,NRP2
18,RAD51B
19,TNC
20,SLC3A2
21,CDKN1A
22,RPS16
23,LYST
24,ATF4
25,SLCO3A1
26,WBP2
27,MIR100HG
28,KDM6B
29,SLC7A5
30,TCEA1
31,ABCA1
32,TNFRSF10B
33,NEAT1
34,RICTOR
35,HYOU1
36,LINC-PINT
37,GBE1
38,SH3PXD2A
39,ARHGEF3
40,RPS6KA2
41,ENO2
42,MCAM
43,MARS
44,CARS
45,FHIT
46,PALLD
47,UPP1
48,ANO10
49,NFE2L1
50,NR3C1
51,MALAT1
52,UST
53,TMTC1
54,HERPUD1
55,SLC38A1
56,SQSTM1
57,RIOK3
58,NQO1
59,P4HA2
60,DPP7
61,ARFGEF3
62,OXR1
63,KLF6
64,H1FX
65,SESN2
66,COL6A2
67,KIF1A
68,GAS5
69,AL590617.2
70,CHD2
71,NPC2
72,LGALS1
73,NAMPT
74,CD44
75,SLC2A1
76,ITGA6
77,HERC4
78,SLC1A4
79,CNKSR3
80,HSPA5
81,DDIT3
82,FMNL2
83,DDIT4
84,PAWR
85,GARS
86,ABR
87,PVT1
88,TMTC2
89,EIF4EBP1
90,RTL8A
91,TRIB3
92,FTL
93,PCNX2
94,SLC1A5
95,VAT1
96,TRAPPC10
97,TXNRD1
98,LHFPL2
99,MTSS1L
100,BACE2
101,SLC7A11
102,GADD45A
103,ACTN1
104,SNTB1
105,ATXN1
106,ZNF347
107,SERPINE2
108,SDCBP
109,GCLM
110,ARL4C
111,SLC39A14
112,SLC2A13
