,0
0,UST
1,DOCK10
2,LHFPL3
3,GRIN2B
4,TCOF1
5,RICTOR
6,PPP1R12B
7,ARL4C
8,TPX2
9,TOP2A
10,CAVIN1
11,NCAPG
12,BCL6
13,C1orf21
14,CRTC3
15,DANT2
16,ABCA5
17,TMEM161B-AS1
18,CTSF
19,NTRK2
20,FIGN
21,PEG10
22,SLC16A1
23,PDE4B
24,P2RX7
25,ZFAND3
26,CLU
27,NETO2
28,SPRY1
29,SOBP
30,BAZ2B
31,ST3GAL5
32,GIPC1
33,TSPAN9
34,NTM
35,POLA2
36,CAMK2N1
37,ITGA6
38,XPR1
39,GFAP
40,MIR4435-2HG
41,AC008014.1
42,PLCB1
43,ELMOD1
44,MSRA
45,ADAMTS3
46,TTLL5
47,VAV2
48,CENPU
49,LRP1B
50,DPM2
51,BBS9
52,CNKSR3
53,TPM4
54,FZR1
55,FANCA
56,PPP1R14B
57,IMMP2L
58,SATB2
59,MEG3
60,RNF38
61,PLCB4
62,DCLK1
63,RAN
64,SPARCL1
